timestamp,USCPI_zmiana,ropaNaftowa_zmiana,oczekiwania,wydatkiKonsumentow_zmiana,stopaBezrobocia
2015-01-01,-0.0063703164417655556,-0.10589335827876523,2.5,-0.0024305354618430197,5.7
2015-02-01,0.0025346436802173855,0.04289600334798083,2.8,0.004135347692409752,5.5
2015-03-01,0.0026939517808124425,-0.04253611556982351,3.0,0.004910618490335583,5.4
2015-04-01,0.0010424788961589382,0.24937133277451795,2.6,0.0027102274127184245,5.4
2015-05-01,0.003297745341246827,0.010566923851056842,2.8,0.005430375703368684,5.6
2015-06-01,0.0027679208104607333,-0.012780082987551955,2.7,0.002647571565896012,5.3
2015-07-01,0.0015863197801873063,-0.20796906523201075,2.8,0.004631171848975102,5.2
2015-08-01,-4.20108051790713e-06,0.044364253873912185,2.8,0.002531358927286176,5.1
2015-09-01,-0.002247587519377592,-0.0841463414634146,2.8,-0.0007905648505187601,5.0
2015-10-01,0.0009894820166906904,0.03417665335108744,2.7,0.0006862365174706841,5.0
2015-11-01,0.0011946174910508756,-0.13240343347639483,2.7,0.002283197121396796,5.1
2015-12-01,-0.0010755534268560574,-0.08162255750680181,2.6,0.002318243286753674,5.0
2016-01-01,-0.0004584435630738959,-0.09345542687853503,2.5,0.0020880179890780948,4.8
2016-02-01,-0.0013296753235823022,-0.027332144979203665,2.5,0.006130790190735702,4.9
2016-03-01,0.0031347962382444194,0.12828344532681712,2.7,-0.0013939224979091502,5.0
2016-04-01,0.0038306451612901693,0.2447211694639957,2.8,0.00594241046502364,5.1
2016-05-01,0.0023640958693178504,0.0678555893866899,2.4,0.003266859612258699,4.8
2016-06-01,0.002775957287827202,-0.01690427698574337,2.6,0.0062042093782355145,4.9
2016-07-01,-0.0005037007434789409,-0.13942407292314074,2.7,0.002002953374387273,4.8
2016-08-01,0.0018492217858316895,0.07558979297063084,2.5,0.0024614516293397504,4.9
2016-09-01,0.0026232097944252075,0.0680393912264996,2.4,0.0045745654162854255,5.0
2016-10-01,0.0023426874979268764,-0.018650461022632014,2.4,0.0015879688010835835,4.9
2016-11-01,0.0011789477167711837,0.05509288917360666,2.4,0.0020206730395586625,4.7
2016-12-01,0.002524522158776188,0.08783647035013153,2.2,0.00875668967656873,4.7
2017-01-01,0.004043076694815628,-0.018604651162790753,2.6,0.00444413689171852,4.7
2017-02-01,0.0015926573570097524,0.023696682464454888,2.7,0.0018907353965567086,4.6
2017-03-01,-0.00046720162618951733,-0.06407407407407406,2.5,0.003934781944317178,4.4
2017-04-01,0.001234152821740775,-0.02433715868618913,2.5,0.0022298495422341524,4.4
2017-05-01,-0.0007739779600562935,-0.020685459338876555,2.6,0.0002050238435136187,4.4
2017-06-01,0.0006516286618252209,-0.04700766204183049,2.6,0.004046492912943567,4.3
2017-07-01,0.0003276499715354486,0.09104737070838764,2.6,0.0028808638054622637,4.3
2017-08-01,0.0038486261632881824,-0.05875323640709029,2.6,0.0023598953503276565,4.4
2017-09-01,0.005106389920997767,0.09331358442657645,2.7,0.009229311148887476,4.3
2017-10-01,0.0007750522450138408,0.052061157344687414,2.4,0.00225082542687427,4.2
2017-11-01,0.002668007428251684,0.05592347314201618,2.5,0.006923219929354962,4.2
2017-12-01,0.0021068892447551058,0.05331010452961671,2.7,0.00926842237419323,4.1
2018-01-01,0.004253344363511546,0.07211379424412812,2.7,0.002722064085584064,4.0
2018-02-01,0.0026922876006090224,-0.052298673248997174,2.7,0.0025833193464348536,4.1
2018-03-01,0.000192362410782021,0.05599869770470467,2.8,0.003966896431248923,4.0
2018-04-01,0.002604406656061986,0.05688299676275621,2.7,0.00327697706116048,4.0
2018-05-01,0.002257949781598212,-0.023045507584597447,2.8,0.0048126951092613,3.8
2018-06-01,0.0009011451720948305,0.10674828306957296,3.0,0.0018266810499820707,4.0
2018-07-01,0.0007808204989283585,-0.05733171455551056,2.9,0.0031872738758398356,3.8
2018-08-01,0.0017873207703393845,-0.0005724098454492621,3.0,0.0028050490883591017,3.8
2018-09-01,0.002062281702117419,0.047537227949598915,2.7,0.0002711574140144002,3.7
2018-10-01,0.002339580144498754,-0.10729907053034438,2.9,0.004658362938549709,3.8
2018-11-01,-0.0007041919199911595,-0.22247741540346044,2.8,0.005666366069970286,3.8
2018-12-01,0.0006848935445813442,-0.1108704214257582,2.7,-0.007858560040669538,3.9
2019-01-01,-0.0008149798035343991,0.1924695459579182,2.7,0.0023484870050385354,4.0
2019-02-01,0.003001255142321968,0.06259286775631501,2.6,0.0023287846300212856,3.8
2019-03-01,0.0037817929172307974,0.0520887956650935,2.5,0.009293495969512788,3.8
2019-04-01,0.0037596794047436433,0.06047516198704095,2.5,0.0029055486153024557,3.7
2019-05-01,0.0002468332856644384,-0.1619927933573554,2.9,0.004429671098670429,3.6
2019-06-01,-0.0003251128102280676,0.08805384183959619,2.7,0.0038597395720845196,3.6
2019-07-01,0.0023078761661827762,0.005670103092783485,2.6,0.006058839451164921,3.7
2019-08-01,0.0009147700174354512,-0.05911498376900737,2.7,0.004290838852097245,3.6
2019-09-01,0.0015388460997671771,-0.01779553295805336,2.8,0.0022255498619334624,3.5
2019-10-01,0.0028272822992627678,-0.0012941393973008308,2.5,0.001836799034995007,3.6
2019-11-01,0.00281542260504386,0.07589781562384301,2.5,0.006403327541149695,3.6
2019-12-01,0.0029122185210892493,0.051961459050240855,2.3,0.004336890762014711,3.6
2020-01-01,0.0019216641534238743,-0.15636244684331047,2.5,0.0063283428540488185,3.6
2020-02-01,0.0004746707213065804,-0.13086467623109732,2.4,-0.002703738826900115,3.5
2020-03-01,-0.004528447444551498,-0.542493865714923,2.2,-0.06847134831839552,4.4
2020-04-01,-0.007920147553434065,-0.062408581179912326,2.1,-0.11319935132630599,14.8
2020-05-01,-0.0008983252093487382,0.8497139885595424,3.2,0.08427489142148059,13.2
2020-06-01,0.004847499237691677,0.10402024177677816,3.0,0.057802206076120966,11.0
2020-07-01,0.005096443382793581,0.021135727018079864,3.0,0.01836403496284489,10.2
2020-08-01,0.003731343283582156,0.06259351620947617,3.1,0.010833706106016638,8.4
2020-09-01,0.002626139536318739,-0.06007979347571002,2.6,0.014237114685179186,7.8
2020-10-01,0.001238475828567287,-0.11011235955056176,2.6,0.003933706478685073,6.9
2020-11-01,0.002274132890799363,0.26823793490460157,2.8,-0.0016433742139645435,6.7
2020-12-01,0.004346309661148906,0.06969026548672552,2.5,0.008189584807095862,6.7
2021-01-01,0.00226678623900467,0.0788004136504652,3.0,0.016934286870867732,6.4
2021-02-01,0.003556212139095738,0.18002300613496924,3.3,-0.005937769521661251,6.2
2021-03-01,0.004833575517978028,-0.038342810722989396,3.1,0.0484666466446424,6.1
2021-04-01,0.006713309948762847,0.07281635411387066,3.4,0.01322749638758225,6.1
2021-05-01,0.006672292545710334,0.04425196850393709,4.6,0.003518140411496784,5.8
2021-06-01,0.008591526206762845,0.10873171467350318,4.2,0.013660124581337918,5.9
2021-07-01,0.004635957297477011,0.0055767138193689725,4.7,0.002964481802404828,5.4
2021-08-01,0.0028937547110843287,-0.07439469768700124,4.6,0.010665221648183287,5.1
2021-09-01,0.004362937760309826,0.09922548589799773,4.6,0.004673153434188837,4.7
2021-10-01,0.009439954442911347,0.11007710715235319,4.8,0.013014263535804593,4.5
2021-11-01,0.00830295666261649,-0.20790419161676643,4.9,0.008716370733109047,4.2
2021-12-01,0.0071084268212204815,0.13894768672512847,4.8,0.002445132879915546,3.9
